Finess EJ;Finess;Année;Id Dépét;MS Résultat net comptable ERRD;Nombre ETP total réalisé ERRD;655 Quotes-parts de résultat sur opérations faites en commun;Dépenses Groupe I ERRD;Dépenses Groupe II ERRD;Dépenses Groupe III ERRD;Recettes Groupe I ERRD;Recettes Groupe II ERRD;Recettes Groupe III ERRD;Taux d'occupation des places autorisées en hébergement permanent;Taux d'occupation des lits autorisés en hébergement temporaire;Taux d'occupation des lits autorisés en accueil de jour
010000404;010780971;2020;219405;115308.16999999933;;0;-661718.61999999988;-3909614.8100000001;-553298.66999999993;5154040.5300000003;60313.539999999994;25586.200000000001;0.12345;;3333333
010001022;010788438;2019;152966;107707.81000000003;;0;-278554.65999999997;-1831760.28;-251461.27000000002;2391925.1299999999;55767.970000000001;21790.919999999998;;;
010003259;010786002;2019;157493;;;;;;;;;;0.89404895576016163;;
010003879;010789030;2018;93912;;43.32;;;;;;;;;;
010008407;010786036;2018;129461;-459696.27998999984;;;-1438185.4199899998;-4468126.3899999997;-889610.62;6253403.5;76163.110000000001;6659.54;;;
010780096;010784353;2020;213950;;152.63000000000005;;;;;;;;;;
010783009;010788750;2019;164233;;13.800000000000001;;;;;;;;;;
010783009;010790004;2019;164233;;54.910000000000004;;;;;;;;;;
010783009;010790012;2018;115951;;55.470000000000006;;;;;;;;;;
010783009;260005566;2018;120590;;52.609999999999992;;;;;;;;;;
010785897;010001261;2018;104836;3034.3799999998928;;-22312;-105389.53;-506251.12999999995;-88214.989999999991;628872.06999999995;46843.479999999996;27174.48;;;
010785897;010008175;2018;104836;-5134.7000000000144;;-22389;-134397.35000000001;-495841.14999999997;-107033.54999999999;712440.60999999999;572.10000000000002;19124.639999999999;;;
010785897;010008175;2018;115547;;12.26;;;;;;;;;;
010785897;010780583;2020;190574;222885.71999999825;;-151850;-546938.19000000006;-3526621.9500000002;-702263.31000000006;4631382.3799999999;14767.18;352559.60999999999;;;
010785947;010010692;2020;188923;144473.44000000018;;-44874;-40649.939999999995;-776271.39000000001;-168206.88999999998;1105526.01;6215.6499999999996;17860;;;
010789279;010788644;2020;220515;;63.349999999999987;;;;;;;;;;
020000048;020004701;2020;217700;-253187.66999999981;;;-1431562.71;-3295101.8999999994;-589569.29000000004;4811897.4100000001;57542.639999999999;193606.17999999999;;;
