Finess EJ;Finess;Année;Mois;Nombre de journées mensuelles hospit complète SSR;Nombre de journées mensuelles HTP SSR;Nombre de séjours mensuels Chirurgie;Nombre de séjours mensuels  HTP/AMBU Chirurgie;Nombre de séjours mensuels HTP/AMBU Médecine;Nombre de séjours mensuels HTP/AMBU Obstétrique;Nombre de séjours mensuels MCO;Nombre de séjours mensuels Médecine;Nombre de séjours mensuels Obstétrique;Nombre total de séjours cumulés mensuels HAD;Nombre total de journées cumulés mensuels hospit complète PSY;Nombre total de journées cumulés mensuels HTP PSY;DMS mensuel MCO Médecine;DMS mensuel MCO Chirurgie;DMS mensuel MCO Obstétrique
010008407;010005239;2026;4;6598;56;195;687;469;654;2659;268;98;12;87;15;4.1562368874589632;2.1569875465895632;3.4569875623215489
010008407;010005239;2026;6;6598;56;195;687;469;654;2659;268;98;12;87;15;4.1562368874589632;2.1569875465895632;3.4569875623215489
010008407;010005239;2026;5;6598;56;195;687;469;654;2659;268;98;12;87;15;4.1562368874589632;2.1569875465895632;3.4569875623215489
010008407;010005239;2026;3;6598;56;195;687;469;654;2659;268;98;12;87;15;4.1562368874589632;2.1569875465895632;3.4569875623215489
010008407;010005239;2026;2;6598;56;195;687;469;654;2659;268;98;12;87;15;4.1562368874589632;2.1569875465895632;3.4569875623215489
010008407;010005239;2026;1;6598;56;195;687;469;654;2659;268;98;12;87;15;4.1562368874589632;2.1569875465895632;3.4569875623215489
010008407;010005239;2025;3;6598;56;195;687;469;654;2659;268;98;12;87;15;4.1562368874589632;2.1569875465895632;3.4569875623215489
010008407;010005239;2025;2;6598;56;195;687;469;654;2659;268;98;12;87;15;4.1562368874589632;2.1569875465895632;3.4569875623215489
010008407;010005239;2025;7;6598;56;195;687;469;654;2659;268;98;12;87;15;4.1562368874589632;2.1569875465895632;3.4569875623215489
010008407;010005239;2025;11;6598;56;195;687;469;654;2659;268;98;12;87;15;4.1562368874589632;2.1569875465895632;3.4569875623215489
010008407;010005239;2025;6;6598;56;195;687;469;654;2659;268;98;12;87;15;4.1562368874589632;2.1569875465895632;3.4569875623215489
010008407;010005239;2025;4;6598;56;195;687;469;654;2659;268;98;12;87;15;4.1562368874589632;2.1569875465895632;3.4569875623215489
010008407;010005239;2025;12;6598;56;195;687;469;654;2659;268;98;12;87;15;4.1562368874589632;2.1569875465895632;3.4569875623215489
010008407;010005239;2025;1;6598;56;195;687;469;654;2659;268;98;12;87;15;4.1562368874589632;2.1569875465895632;3.4569875623215489
010008407;010005239;2025;8;6598;56;195;687;469;654;2659;268;98;12;87;15;4.1562368874589632;2.1569875465895632;3.4569875623215489
010008407;010005239;2025;9;6598;56;195;687;469;654;2659;268;98;12;87;15;4.1562368874589632;2.1569875465895632;3.4569875623215489
010008407;010005239;2025;10;6598;56;195;687;469;654;2659;268;98;12;87;15;4.1562368874589632;2.1569875465895632;3.4569875623215489
010008407;010005239;2025;5;6598;56;195;687;469;654;2659;268;98;12;87;15;4.1562368874589632;2.1569875465895632;3.4569875623215489
010008407;010005239;2024;4;6598;56;195;687;469;654;2659;268;98;12;87;15;4.1562368874589632;2.1569875465895632;3.4569875623215489
010008407;010005239;2024;5;6598;56;195;687;469;654;2659;268;98;12;87;15;4.1562368874589632;2.1569875465895632;3.4569875623215489
010008407;010005239;2024;1;6598;56;195;687;469;654;2659;268;98;12;87;15;4.1562368874589632;2.1569875465895632;3.4569875623215489
010008407;010005239;2024;3;6598;56;195;687;469;654;2659;268;98;12;87;15;4.1562368874589632;2.1569875465895632;3.4569875623215489
010008407;010005239;2024;2;6598;56;195;687;469;654;2659;268;98;12;87;15;4.1562368874589632;2.1569875465895632;3.4569875623215489
010008407;010005239;2024;9;6598;56;195;687;469;654;2659;268;98;12;87;15;4.1562368874589632;2.1569875465895632;3.4569875623215489
010008407;010005239;2024;7;6598;56;195;687;469;654;2659;268;98;12;87;15;4.1562368874589632;2.1569875465895632;3.4569875623215489
010008407;010005239;2024;6;6598;56;195;687;469;654;2659;268;98;12;87;15;4.1562368874589632;2.1569875465895632;3.4569875623215489
010008407;010005239;2024;8;6598;56;195;687;469;654;2659;268;98;12;87;15;4.1562368874589632;2.1569875465895632;3.4569875623215489
010008407;010005239;2024;12;6598;56;195;687;469;654;2659;268;98;12;87;15;4.1562368874589632;2.1569875465895632;3.4569875623215489
010008407;010005239;2024;11;6598;56;195;687;469;654;2659;268;98;12;87;15;4.1562368874589632;2.1569875465895632;3.4569875623215489
010008407;010005239;2024;10;6598;56;195;687;469;654;2659;268;98;12;87;15;4.1562368874589632;2.1569875465895632;3.4569875623215489
