"IDENTIFIANT";"N° FINESS/RPPS";"ANNEE_DE_RECEPTION";"ENCOURS_NB_RECLA_TOTAL";"ENCOURS_NB_RECLA_MOTIF_10";"ENCOURS_NB_RECLA_MOTIF_11";"ENCOURS_NB_RECLA_MOTIF_12";"ENCOURS_NB_RECLA_MOTIF_13";"ENCOURS_NB_RECLA_MOTIF_14";"ENCOURS_NB_RECLA_MOTIF_15";"ENCOURS_NB_RECLA_MOTIF_16";"ENCOURS_NB_RECLA_MOTIF_17";"ENCOURS_NB_RECLA_MOTIF_18";"ENCOURS_NB_RECLA_MOTIF_19";"ENCOURS_NB_RECLA_MOTIF_155";"ENCOURS_NB_RECLA_MOTIF_156";"CLOT_NB_RECLA_TOTAL";"CLOT_NB_RECLA_MOTIF_10";"CLOT_NB_RECLA_MOTIF_11";"CLOT_NB_RECLA_MOTIF_12";"CLOT_NB_RECLA_MOTIF_13";"CLOT_NB_RECLA_MOTIF_14";"CLOT_NB_RECLA_MOTIF_15";"CLOT_NB_RECLA_MOTIF_16";"CLOT_NB_RECLA_MOTIF_17";"CLOT_NB_RECLA_MOTIF_18";"CLOT_NB_RECLA_MOTIF_19";"CLOT_NB_RECLA_MOTIF_155";"CLOT_NB_RECLA_MOTIF_156"
;"010000024";;1;;;;;;;;;;;;;36;;;;;;;;;;;;
;"010000032";;;;;;;;;;;;;;;10;;;;;;;;;;;;
;"010000065";;;;;;;;;;;;;;;2;;;;;;;;;;;;
;"010000099";;;;;;;;;;;;;;;4;;;;;;;;;;;;
;"010000107";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"010000495";;;;;;;;;;;;;;;7;;;;;;;;;;;;
;"010001741";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"010002129";;;;;;;;;;;;;;;5;;;;;;;;;;;;
;"010002228";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"010003218";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"010004059";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"010004901";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"010005239";;;;;;;;;;;;;;;11;;;;;;;;;;;;
;"010005379";;;;;;;;;;;;;;;2;;;;;;;;;;;;
;"010005452";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"010006799";;;;;;;;;;;;;;;3;;;;;;;;;;;;
;"010007466";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"010008175";;2;;;;;;;;;;;;;;;;;;;;;;;;;
;"010008852";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"010009223";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"010009231";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"010009272";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"010009330";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"010009587";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"010010171";;;;;;;;;;;;;;;2;;;;;;;;;;;;
;"010011641";;;;;;;;;;;;;;;4;;;;;;;;;;;;
;"010011724";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"010780195";;;;;;;;;;;;;;;7;;;;;;;;;;;;
;"010780203";;2;;;;;;;;;;;;;13;;;;;;;;;;;;
;"010780278";;;;;;;;;;;;;;;5;;;;;;;;;;;;
;"010780567";;1;;;;;;;;;;;;;3;;;;;;;;;;;;
;"010780583";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"010780633";;4;;;;;;;;;;;;;;;;;;;;;;;;;
;"010780708";;;;;;;;;;;;;;;4;;;;;;;;;;;;
;"010780906";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"010780963";;1;;;;;;;;;;;;;1;;;;;;;;;;;;
;"010780971";;;;;;;;;;;;;;;2;;;;;;;;;;;;
;"010780989";;;;;;;;;;;;;;;2;;;;;;;;;;;;
;"010781003";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"010781011";;;;;;;;;;;;;;;3;;;;;;;;;;;;
;"010781029";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"010781078";;;;;;;;;;;;;;;2;;;;;;;;;;;;
;"010784106";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"010784130";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"010784221";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"010784353";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"010784437";;1;;;;;;;;;;;;;1;;;;;;;;;;;;
;"010784510";;;;;;;;;;;;;;;2;;;;;;;;;;;;
;"010784536";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"010784692";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"010785673";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"010785681";;2;;;;;;;;;;;;;;;;;;;;;;;;;
;"010785822";;2;;;;;;;;;;;;;3;;;;;;;;;;;;
;"010786010";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"010786036";;;;;;;;;;;;;;;3;;;;;;;;;;;;
;"010786077";;;;;;;;;;;;;;;2;;;;;;;;;;;;
;"010786085";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"010786101";;;;;;;;;;;;;;;2;;;;;;;;;;;;
;"010786119";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"010786143";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"010786150";;;;;;;;;;;;;;;3;;;;;;;;;;;;
;"010787190";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"010788032";;;;;;;;;;;;;;;2;;;;;;;;;;;;
;"010788222";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"010788396";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"010788669";;1;;;;;;;;;;;;;1;;;;;;;;;;;;
;"010788743";;;;;;;;;;;;;;;2;;;;;;;;;;;;
;"010788750";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"010788818";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"010789030";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"010789188";;;;;;;;;;;;;;;2;;;;;;;;;;;;
;"010789204";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"010789295";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"010789477";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"010789873";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"010789956";;1;;;;;;;;;;;;;1;;;;;;;;;;;;
;"010789964";;;;;;;;;;;;;;;2;;;;;;;;;;;;
;"010790020";;2;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020000030";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"020000089";;1;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020000097";;6;;;;;;;;;;;;;;;;;;;;;;;;;
;"020000105";;2;;;;;;;;;;;;;;;;;;;;;;;;;
;"020000147";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020000162";;35;;;;;;;;;;;;;31;;;;;;;;;;;;
;"020000204";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020000212";;;;;;;;;;;;;;;2;;;;;;;;;;;;
;"020000238";;;;;;;;;;;;;;;2;;;;;;;;;;;;
;"020000246";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"020000279";;2;;;;;;;;;;;;;3;;;;;;;;;;;;
;"020000295";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"020000303";;6;;;;;;;;;;;;;3;;;;;;;;;;;;
;"020000386";;1;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020000394";;18;;;;;;;;;;;;;14;;;;;;;;;;;;
;"020000402";;3;;;;;;;;;;;;;32;;;;;;;;;;;;
;"020000410";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020000428";;2;;;;;;;;;;;;;13;;;;;;;;;;;;
;"020000444";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020000477";;2;;;;;;;;;;;;;2;;;;;;;;;;;;
;"020000485";;;;;;;;;;;;;;;3;;;;;;;;;;;;
;"020000493";;1;;;;;;;;;;;;;13;;;;;;;;;;;;
;"020000519";;22;;;;;;;;;;;;;5;;;;;;;;;;;;
;"020000527";;2;;;;;;;;;;;;;5;;;;;;;;;;;;
;"020000535";;9;;;;;;;;;;;;;6;;;;;;;;;;;;
;"020000543";;18;;;;;;;;;;;;;9;;;;;;;;;;;;
;"020000634";;6;;;;;;;;;;;;;;;;;;;;;;;;;
;"020000915";;13;;;;;;;;;;;;;2;;;;;;;;;;;;
;"020001061";;12;;;;;;;;;;;;;9;;;;;;;;;;;;
;"020001087";;10;;;;;;;;;;;;;9;;;;;;;;;;;;
;"020001731";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020001772";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"020001855";;;;;;;;;;;;;;;3;;;;;;;;;;;;
;"020001863";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020002044";;2;;;;;;;;;;;;;2;;;;;;;;;;;;
;"020002069";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"020002093";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"020002101";;1;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020002119";;3;;;;;;;;;;;;;4;;;;;;;;;;;;
;"020002127";;1;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020002135";;3;;;;;;;;;;;;;5;;;;;;;;;;;;
;"020002143";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"020002150";;1;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020002168";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020002176";;5;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020002184";;4;;;;;;;;;;;;;12;;;;;;;;;;;;
;"020002192";;2;;;;;;;;;;;;;;;;;;;;;;;;;
;"020002218";;3;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020002226";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020002242";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020002309";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020002507";;1;;;;;;;;;;;;;10;;;;;;;;;;;;
;"020002580";;1;;;;;;;;;;;;;19;;;;;;;;;;;;
;"020002689";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"020002739";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"020003018";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020003208";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"020003646";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020003661";;1;;;;;;;;;;;;;8;;;;;;;;;;;;
;"020003679";;1;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020003687";;;;;;;;;;;;;;;4;;;;;;;;;;;;
;"020003695";;;;;;;;;;;;;;;2;;;;;;;;;;;;
;"020003794";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020003802";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020003828";;;;;;;;;;;;;;;6;;;;;;;;;;;;
;"020003836";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020003877";;2;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020003927";;2;;;;;;;;;;;;;2;;;;;;;;;;;;
;"020003943";;4;;;;;;;;;;;;;6;;;;;;;;;;;;
;"020003984";;1;;;;;;;;;;;;;2;;;;;;;;;;;;
;"020004008";;2;;;;;;;;;;;;;4;;;;;;;;;;;;
;"020004016";;1;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020004024";;5;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020004057";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"020004065";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"020004107";;4;;;;;;;;;;;;;3;;;;;;;;;;;;
;"020004149";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"020004156";;2;;;;;;;;;;;;;;;;;;;;;;;;;
;"020004222";;2;;;;;;;;;;;;;;;;;;;;;;;;;
;"020004305";;1;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020004339";;;;;;;;;;;;;;;8;;;;;;;;;;;;
;"020004438";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020004503";;5;;;;;;;;;;;;;8;;;;;;;;;;;;
;"020004586";;2;;;;;;;;;;;;;;;;;;;;;;;;;
;"020004651";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020004669";;2;;;;;;;;;;;;;;;;;;;;;;;;;
