"IDENTIFIANT";"NDEG_FINESS_RPPS";"ANNEE_DE_RECEPTION";"ENCOURS_NB_RECLA_TOTAL";"ENCOURS_NB_RECLA_MOTIF_10";"ENCOURS_NB_RECLA_MOTIF_11";"ENCOURS_NB_RECLA_MOTIF_12";"ENCOURS_NB_RECLA_MOTIF_13";"ENCOURS_NB_RECLA_MOTIF_14";"ENCOURS_NB_RECLA_MOTIF_15";"ENCOURS_NB_RECLA_MOTIF_16";"ENCOURS_NB_RECLA_MOTIF_17";"ENCOURS_NB_RECLA_MOTIF_18";"ENCOURS_NB_RECLA_MOTIF_19";"ENCOURS_NB_RECLA_MOTIF_155";"ENCOURS_NB_RECLA_MOTIF_156";"CLOT_NB_RECLA_TOTAL";"CLOT_NB_RECLA_MOTIF_10";"CLOT_NB_RECLA_MOTIF_11";"CLOT_NB_RECLA_MOTIF_12";"CLOT_NB_RECLA_MOTIF_13";"CLOT_NB_RECLA_MOTIF_14";"CLOT_NB_RECLA_MOTIF_15";"CLOT_NB_RECLA_MOTIF_16";"CLOT_NB_RECLA_MOTIF_17";"CLOT_NB_RECLA_MOTIF_18";"CLOT_NB_RECLA_MOTIF_19";"CLOT_NB_RECLA_MOTIF_155";"CLOT_NB_RECLA_MOTIF_156"
"0100052392021";"010005239";"2021";;;;;;;;;;;;;;17;;1;12;;;2;2;;;;;5
"0100052392022";"010005239";"2022";;;;;;;;;;;;;;11;;2;6;;;4;;;;;;1
"0100052392023";"010005239";"2023";1;;;1;;;;;;;;;;8;1;3;3;1;;3;;;;;;
"0100079612021";"010007961";"2021";;;;;;;;;;;;;;3;;;3;;;;2;;;;;
"0100079612022";"010007961";"2022";;;;;;;;;;;;;;4;1;2;4;3;;2;1;;;;;
"0100079612023";"010007961";"2023";;;;;;;;;;;;;;3;;;3;;;2;2;;;;;
"0100035982021";"010003598";"2021";;;;;;;;;;;;;;1;;;;;;;;;;;;1
"0100035982023";"010003598";"2023";;;;;;;;;;;;;;1;;;1;;;1;;;;;;
"0100090662021";"010009066";"2021";;;;;;;;;;;;;;2;;;1;;;1;1;;;;;2
"0100090662022";"010009066";"2022";;;;;;;;;;;;;;2;;;2;;;1;;;;;;
"0107860362021";"010786036";"2021";;;;;;;;;;;;;;1;1;;1;1;;;;;;;;
"0107860772021";"010786077";"2021";;;;;;;;;;;;;;2;1;;;;;1;;;;;;
"0107860772022";"010786077";"2022";;;;;;;;;;;;;;5;1;1;5;;;3;;;;;;
"0107860772023";"010786077";"2023";1;;;;1;;;;;;;;;;;;;;;;;;;;;
"0107862592021";"010786259";"2021";;;;;;;;;;;;;;3;;2;2;2;;;;1;;;;1
"0107862592022";"010786259";"2022";;;;;;;;;;;;;;2;;;2;2;;1;1;;;;;
"0107862592023";"010786259";"2023";1;;;1;;;;;;;;;;;;;;;;;;;;;;
"0100040592023";"010004059";"2023";1;;;1;1;;;;;;;;;;;;;;;;;;;;;
"0107897172021";"010789717";"2021";;;;;;;;;;;;;;4;;;4;;;1;;;;;;
"0107897172022";"010789717";"2022";;;;;;;;;;;;;;5;;;2;;;3;;;;;;
"0107897172023";"010789717";"2023";;;;;;;;;;;;;;2;;;1;;;2;;;;;;
"5907825532021";"590782553";"2021";;;;;;;;;;;;;;1;;;1;;;;;;;;;
"5907825532022";"590782553";"2022";;;;;;;;;;;;;;1;;;1;;;;;;;;;
