"FINESS";"NATURE_PRINCIPALE";"ANNEE_RECEPTION";"NB_EIGS_EN_COURS";"NB_EIGS_CLOTURE";"NB_EIAS_EN_COURS";"NB_EIAS_CLOTURE";"NB_EI_EN_COURS";"NB_EI_CLOTURE"
"010000024";Autre prise en charge;"2022";0;1;0;0;0;0
"010000024";Défaillances techniques;"2022";0;0;0;0;0;2
"010000024";Gale;"2023";0;0;0;0;0;0
"010000024";Hépatite A;"2023";0;0;0;0;0;0
"010000024";Infection invasive à streptocoques A;"2023";0;0;0;0;0;0
"010000024";Intoxication au CO;"2023";0;0;0;0;0;0
"010000024";Listériose;"2023";0;0;0;0;0;0
"010000024";Légionellose;"2022";0;0;0;0;0;0
"010000024";Matériovigilance;"2023";0;0;0;0;0;0
"010000024";Orthopoxviroses dont variole;"2022";0;0;0;0;0;0
"010000024";Prise en charge chirurgicale;"2023";0;1;0;0;0;0
"010000024";Prise en charge diagnostique;"2023";1;0;0;0;0;0
"010000024";Prise en charge en urgence;"2023";0;2;0;0;0;0
"010000024";RAPASAN (MT ou BMR);"2023";0;0;0;0;0;0
"010000024";Sécurité des réseaux et cyberattaques;"2023";0;0;0;0;1;0
"010000024";Tensions sur l'offre;"2023";0;0;0;0;2;0
"010000024";Toxi-Infection Alimentaire Collective (TIAC);"2021";0;0;0;0;0;0
"010000024";Tuberculose;"2023";0;0;0;0;0;0
"010000032";GEA - Gastro-entérite Aigue;"2022";0;0;0;0;0;0
"010000032";Infection invasive à streptocoques A;"2023";0;0;0;0;0;0
"010000032";Légionellose;"2022";0;0;0;0;0;0
"010000032";Prise en charge en urgence;"2022";0;1;0;0;0;0
"010000032";Tensions sur l'offre;"2023";0;0;0;0;0;3
"010000065";Autre prise en charge;"2022";0;1;0;0;0;0
"010000065";Légionellose;"2023";0;0;0;0;0;0
"010000065";Prise en charge médicamenteuse;"2022";0;1;0;0;0;0
"010000065";Situations conflictuelles avec un ou des tiers;"2023";0;0;0;0;1;0
"010000099";Prise en charge médicamenteuse;"2022";0;1;0;0;0;0
"010000107";Maltraitance;"2022";0;0;0;0;0;1
"010000107";Présence de Légionelles;"2022";0;0;0;0;0;0
"010000115";Acte(s) de violence à caractère sexuel;"2022";0;0;0;0;0;1
"010000115";Défaillances techniques;"2023";0;0;0;0;1;0
"010000115";GEA - Gastro-entérite Aigue;"2023";0;0;0;0;0;0
"010000115";IRA - Infection Respiratoire Aigue_V1;"2022";0;0;0;0;0;0
"010000131";Evénements/incidents dans une structure autres;"2023";0;0;0;0;1;0
"010000131";GEA - Gastro-entérite Aigue;"2023";0;0;0;0;0;0
"010000198";Autre prise en charge;"2022";0;0;0;1;0;0
"010000214";Défaillances techniques;"2023";0;0;0;0;1;0
"010000495";Autre prise en charge;"2021";0;0;0;0;0;0
"010000495";Défaillances techniques;"2022";0;0;0;0;0;1
"010000495";Fugue SDRE/SDJ/SDT;"2023";0;0;7;22;0;0
"010000495";Parcours/Coopération interprofessionnelle;"2022";0;1;0;0;0;0
"010000495";Prise en charge psychiatrique;"2023";2;1;0;0;0;0
"010000495";Suicide;"2023";2;2;0;0;0;0
"010000495";Tentative de suicide;"2023";2;2;0;0;0;0
"010001261";Condition d'exercice et de réglementation;"2023";0;0;0;0;1;0
"010001261";Evénements/incidents dans une structure autres;"2021";0;0;0;0;0;1
"010001733";Défaillances techniques;"2023";0;0;0;0;1;0
"010001741";Acte(s) de violence autres;"2023";0;0;0;0;0;4
"010001741";Acte(s) de violence à caractère sexuel;"2023";0;0;0;0;1;0
"010001741";Autres signaux;"2021";0;0;0;0;0;0
"010001741";Prise en charge médicamenteuse;"2022";0;0;0;1;0;0
"010002038";Disparition inquiétante et fugues (Hors SDRE/SDJ/SDT);"2022";0;0;0;1;0;0
"010002129";Acte(s) de violence à caractère sexuel;"2022";0;0;0;0;0;1
"010002129";Prise en charge médicamenteuse;"2021";0;0;0;1;0;0
"010002228";Chute;"2023";0;0;1;0;0;0
"010002228";Evénements/incidents dans une structure autres;"2022";0;0;0;0;0;1
"010002228";Maltraitance;"2021";0;0;0;0;0;1
"010002228";Prise en charge médicamenteuse;"2022";0;0;0;2;0;0
"010002228";Sécurité des établissements et des organismes;"2022";0;0;0;0;0;3
"010002319";Chute;"2023";0;0;1;2;0;0
"010002319";Evénements/incidents dans une structure autres;"2022";0;0;0;0;0;1
"010002319";Prise en charge médicamenteuse;"2023";0;0;0;1;0;0
"010002319";Présence de Légionelles;"2022";0;0;0;0;0;0
"010002319";Toxi-Infection Alimentaire Collective (TIAC);"2022";0;0;0;0;0;0
"010003366";Vols et falsifications d'ordonnances et de cartes professionnelles;"2023";0;0;0;0;1;0
"010004059";Défaillances techniques;"2023";0;0;0;0;0;1
"010004109";Mouvements sociaux;"2023";0;0;0;0;0;1
"010004216";Pharmacovigilance;"2023";0;0;0;0;0;0
"010005239";Autre prise en charge;"2022";0;1;0;0;0;0
"010005239";Intoxication au CO;"2021";0;0;0;0;0;0
"010005239";Prise en charge en urgence;"2023";0;0;0;1;0;0
"010005239";Prise en charge périnatale;"2023";0;0;0;0;0;0
"010005239";RAPASAN (MT ou BMR);"2022";0;0;0;0;0;0
"010005619";Acte(s) de violence autres;"2023";0;0;0;0;1;0
"010006328";Acte(s) de violence autres;"2023";0;0;0;0;1;1
"010006328";Autres signaux;"2023";0;0;0;0;0;0
"010006328";Evénements/incidents dans une structure autres;"2023";0;0;0;0;1;0
"010006328";Hors champ de compétence de l’ARS;"2022";0;0;0;0;0;0
"010006500";Acte(s) de violence à caractère sexuel;"2022";0;0;0;0;0;1
"010006518";Disparition inquiétante et fugues (Hors SDRE/SDJ/SDT);"2022";0;0;0;1;0;0
"010006609";Autres signaux;"2021";0;0;0;0;0;0
"010006641";"";"2023";0;0;0;0;0;0
"010006658";Mouvements sociaux;"2022";0;0;0;0;0;2
"010006658";Situations conflictuelles avec un ou des tiers;"2022";0;0;0;0;0;1
"010006658";Tensions sur l'offre;"2022";0;0;0;0;0;1
"010006799";Condition d'exercice et de réglementation;"2022";0;0;0;0;0;2
"010006799";GEA - Gastro-entérite Aigue;"2023";0;0;0;0;0;0
"010006799";Maltraitance;"2022";0;0;0;0;0;2
"010006799";Situations conflictuelles avec un ou des tiers;"2022";0;0;0;0;0;2
"010006898";Acte(s) de violence autres;"2022";0;0;0;0;0;1
"010006898";Evénements/incidents dans une structure autres;"2021";0;0;0;0;0;1
"010007417";Chute;"2023";0;0;0;1;0;0
"010007466";Evénements/incidents dans une structure autres;"2023";0;0;0;0;0;1
"010007466";Situations conflictuelles avec un ou des tiers;"2022";0;0;0;0;0;1
"010008142";Acte(s) de violence à caractère sexuel;"2023";0;0;0;0;0;1
"010008175";Maltraitance;"2023";0;0;0;0;0;1
"010008332";GEA - Gastro-entérite Aigue;"2021";0;0;0;0;0;0
"010008571";Acte(s) de violence autres;"2023";0;0;0;0;1;0
"010008605";Défaillances techniques;"2022";0;0;0;0;0;1
"010008605";Toxi-Infection Alimentaire Collective (TIAC);"2022";0;0;0;0;0;0
"010008837";Mouvements sociaux;"2023";0;0;0;0;0;2
"010008910";Acte(s) de violence à caractère sexuel;"2023";0;0;0;0;0;1
"010008944";Choléra;"2022";0;0;0;0;0;0
"010009215";Radiovigilance;"2022";0;0;0;0;0;0
"010009223";Prise en charge médicamenteuse;"2022";0;0;0;1;0;0
"010009405";Sinistres;"2022";0;0;0;0;0;1
"010009850";Légionellose;"2021";0;0;0;0;0;0
"010009850";Orthopoxviroses dont variole;"2022";0;0;0;0;0;0
"010010163";Légionellose;"2022";0;0;0;0;0;0
"010010171";Autre prise en charge;"2022";0;1;0;0;0;0
"010010171";Défaillances techniques;"2022";0;0;0;0;0;1
"010010288";Hépatite A;"2022";0;0;0;0;0;0
"010010601";Acte(s) de violence autres;"2023";0;0;0;0;2;1
"010010601";Autre prise en charge;"2023";1;0;0;0;0;0
"010010601";Condition d'exercice et de réglementation;"2022";0;0;0;0;0;1
"010010601";Disparition inquiétante et fugues (Hors SDRE/SDJ/SDT);"2023";0;0;0;2;0;0
"010010759";"";"2023";0;0;0;0;0;0
"010010890";Chute;"2022";0;0;0;1;0;0
"010010890";Hors champ de compétence de l’ARS;"2022";0;0;0;0;0;0
"010010890";Prise en charge médicamenteuse;"2022";0;0;0;2;0;0
"010011112";Radiovigilance;"2022";0;0;0;0;0;0
"010011278";Gale;"2023";0;0;0;0;0;0
"010011443";Acte(s) de violence autres;"2022";0;0;0;0;0;4
"010011575";Radiovigilance;"2022";0;0;0;0;0;0
"010012631";Tensions sur l'offre;"2023";0;0;0;0;1;0
"010780013";GEA - Gastro-entérite Aigue;"2023";0;0;0;0;0;0
"010780013";Infection associée aux soins (IAS) hors ES;"2023";0;0;0;0;0;0
"010780013";Tentative de suicide;"2023";0;0;1;1;0;0
"010780021";Mouvements sociaux;"2023";0;0;0;0;0;2
"010780195";RAPASAN (MT ou BMR);"2023";0;0;0;0;0;0
"010780203";Légionellose;"2021";0;0;0;0;0;0
"010780203";Tensions sur l'offre;"2023";0;0;0;0;1;1
"010780278";Vols et fraudes sur des produits de santé;"2023";0;0;0;0;0;1
"010780500";Hors champ de compétence de l’ARS;"2021";0;0;0;0;0;0
"010780559";Acte(s) de violence autres;"2023";0;0;0;0;1;0
"010780567";Acte(s) de violence autres;"2023";0;0;0;0;1;1
"010780567";Prise en charge médicamenteuse;"2023";0;0;2;0;0;0
"010780583";Acte(s) de violence autres;"2022";0;0;0;0;0;5
"010780583";Acte(s) de violence à caractère sexuel;"2023";0;0;0;0;2;3
"010780583";Evénements/incidents dans une structure autres;"2023";0;0;0;0;0;3
"010780583";Hors champ de compétence de l’ARS;"2023";0;0;0;0;0;0
"010780583";Maltraitance;"2023";0;0;0;0;1;0
"010780583";Prise en charge médicamenteuse;"2023";0;0;0;1;0;0
"010780583";Situations conflictuelles avec un ou des tiers;"2023";0;0;0;0;2;1
"010780609";Mouvements sociaux;"2023";0;0;0;0;0;5
"010780609";Tensions sur l'offre;"2023";0;0;0;0;0;1
"010780617";Acte(s) de violence autres;"2023";0;0;0;0;1;1
"010780617";Acte(s) de violence à caractère sexuel;"2021";0;0;0;0;0;1
"010780617";Autres signaux;"2023";0;0;0;0;0;0
"010780617";Disparition inquiétante et fugues (Hors SDRE/SDJ/SDT);"2023";0;0;0;1;0;0
"010780617";Evénements/incidents dans une structure autres;"2023";0;0;0;0;2;1
"010780617";Hors champ de compétence de l’ARS;"2023";0;0;0;0;0;0
"010780625";Tensions sur l'offre;"2022";0;0;0;0;0;1
"010780633";Absenteisme;"2023";0;0;0;0;1;0
"010780633";Acte(s) de violence autres;"2023";0;0;0;0;6;16
"010780633";Acte(s) de violence à caractère sexuel;"2023";0;0;0;0;2;4
"010780633";Autres signaux;"2023";0;0;0;0;0;0
"010780633";Disparition inquiétante et fugues (Hors SDRE/SDJ/SDT);"2022";0;0;0;2;0;0
"010780633";Evénements/incidents dans une structure autres;"2023";0;0;0;0;3;4
"010780633";Hors champ de compétence de l’ARS;"2023";0;0;0;0;0;0
"010780633";Prise en charge médicamenteuse;"2023";0;0;1;0;0;0
"010780633";Tentative de suicide;"2023";0;0;1;0;0;0
"010780641";Acte(s) de violence à caractère sexuel;"2023";0;0;0;0;1;0
"010780641";Infection invasive à streptocoques A;"2023";0;0;0;0;0;0
"010780641";Mouvements sociaux;"2022";0;0;0;0;0;2
"010780666";Acte(s) de violence à caractère sexuel;"2021";0;0;0;0;0;1
"010780781";Gale;"2022";0;0;0;0;0;0
"010780781";Hors champ de compétence de l’ARS;"2021";0;0;0;0;0;0
"010780799";Autre prise en charge;"2022";0;0;0;1;0;0
"010780823";Disparition inquiétante et fugues (Hors SDRE/SDJ/SDT);"2022";0;0;0;1;0;0
"010780849";Sécurité des établissements et des organismes;"2023";0;0;0;0;1;0
"010780864";Tentative de suicide;"2023";0;0;0;1;0;0
"010780906";Evénements/incidents dans une structure autres;"2022";0;0;0;0;0;1
"010780914";Autre prise en charge;"2022";0;0;0;1;0;0
