finess_et;year;month;profession2_code;effectif;ind_qual_effectif_code;ind_redr_effectif_code;ind_masq_effectif_code
010001261;2022;1;12;;;;1.0
010001261;2022;1;13;;;;1.0
010001261;2022;1;7;454.0;;1.0;
010001261;2022;1;15;256.0;;2.0;
010001261;2022;1;2;;1.0;;
010001261;2022;1;9;433.0;;;
010001261;2022;1;8;477.0;;;
010001261;2022;1;16;535.0;;;
010001261;2022;1;1;619.0;;;
010001261;2022;1;10;372.0;;;
010001261;2022;1;11;342.0;;;
010001261;2022;1;14;291.0;;;
010001261;2022;1;3;295.0;;;
010001261;2022;1;5;253.0;;;
010001261;2022;1;4;512.0;;;
010001261;2022;1;6;501.0;;;
010001261;2022;2;9;280.0;;;
010001261;2022;2;8;359.0;;;
010001261;2022;2;16;171.0;;;
010001261;2022;2;7;309.0;;;
010001261;2022;2;1;199.0;;;
010001261;2022;2;10;276.0;;;
010001261;2022;2;2;263.0;;;
010001261;2022;2;11;434.0;;;
010001261;2022;2;12;502.0;;;
010001261;2022;2;14;550.0;;;
010001261;2022;2;13;424.0;;;
010001261;2022;2;3;580.0;;;
010001261;2022;2;5;374.0;;;
010001261;2022;2;4;247.0;;;
010001261;2022;2;15;327.0;;;
010001261;2022;2;6;166.0;;;
010001261;2022;3;9;280.0;;;
010001261;2022;3;8;261.0;;;
010001261;2022;3;16;449.0;;;
010001261;2022;3;7;512.0;;;
010001261;2022;3;1;467.0;;;
010001261;2022;3;10;652.0;;;
010001261;2022;3;2;350.0;;;
010001261;2022;3;11;274.0;;;
010001261;2022;3;12;345.0;;;
010001261;2022;3;14;176.0;;;
010001261;2022;3;13;277.0;;;
010001261;2022;3;3;186.0;;;
010001261;2022;3;5;307.0;;;
010001261;2022;3;4;279.0;;;
010001261;2022;3;15;499.0;;;
010001261;2022;3;6;458.0;;;
010001261;2022;4;9;682.0;;;
010001261;2022;4;8;354.0;;;
010001261;2022;4;16;272.0;;;
010001261;2022;4;7;349.0;;;
010001261;2022;4;1;197.0;;;
010001261;2022;4;10;283.0;;;
010001261;2022;4;2;187.0;;;
010001261;2022;4;11;277.0;;;
010001261;2022;4;12;279.0;;;
010001261;2022;4;14;466.0;;;
010001261;2022;4;13;503.0;;;
010001261;2022;4;3;430.0;;;
010001261;2022;4;5;658.0;;;
010001261;2022;4;4;332.0;;;
010001261;2022;4;15;273.0;;;
010001261;2022;4;6;384.0;;;
010001261;2022;5;9;276.0;;;
010001261;2022;5;8;556.0;;;
010001261;2022;5;16;304.0;;;
010001261;2022;5;7;489.0;;;
010001261;2022;5;1;432.0;;;
010001261;2022;5;10;552.0;;;
